id,label,severity
368,mothafucker,M
388,रंडी,H
398,बत्तमीज़,L
408,बहन चोद,M
418,नंगी पुंगी,L
438,कलमुंही,M
458,चुस्लामि,H
468,घटिया औरत,H
488,काली कलूटी,M
578,Chhakka,M
588,🅱️errorist,H
598,niggers,H
708,#kutiya,M
718,paxtani,M
728,भैनचोद (bhen-chod),M
99,jihadinon,H
109,r&d-khana,H
119,Dheela Lun@,M
129,saali,L
139,bsdk,M
149,mc,M
159,chut marli,M
199,Sulli,M
209,chamchi,L
229,Gatiya,L
239,bhootni,L
279,dull-it,H
289,chrislamocommies,M
299,halala,M
309,Izzlam,H
319,Characterless woman,L
369,mothafuckin,M
389,रण्डी,H
409,मादरचोद,M
419,पागल औरत,M
429,सूअर,M
439,पिछवाड़ा,L
459,चुसल्मान,H
469,बेहूदा औरत,H
479,टट्टी,L
489,काले तवे,M
579,chhodi,M
749,भंगी,H
100,Chakko,M
110,randi ke beej,H
120,lodu,M
130,sali,L
140,bhonsdi ke,M
160,chutan,M
170,bazari aurat,H
190,kalmuhi,M
200,नाचने वाली,L
210,aatankwadi,H
220,Bhimta,H
230,Ghatiya aurat,H
240,bhootni ke,L
250,munh mein le,M
260,victim card,L
340,muslimette,M
360,sissy,L
370,mothafucking,M
390,रांड,M
400,हरामजादी,M
420,बाज़ारू औरत,M
430,सूअर की औलाद,M
440,काम वाली बाई,M
450,गद्दार,H
470,चालू औरत,M
480,गटर पैदाइश,M
490,मोटी भैंस,M
580,#chutiya,M
710,chappri,H
1520,kamina,M
1216,maa ki chut,M
1521,chappri,H
1537,Jih@@di,H
1582,Pisslam,M
1605,GB Road,M
1610,bklodi,L
1619,Cornstar,L
1620,mdrchd,M
1238,ramdi,H
1554,Randi,H
1259,bhosad,M
1269,hutiye,M
1598,Chinki,H
1233,Chakko,M
1253,saali,L
1263,Maderchod,M
1535,Quota wala,L
1615,Ambedkar ki Raand,H
1621,Chinar,M
1235,chaka,M
1572,kameena,M
1607,xutiya,M
1616,6kka,M
1543,f-rands,M
1297,Bahan Ke loudi,H
1427,hutiye,M
1573,ghaati,L
1597,bape,H
1599,Niqqa,H
1618,chutad,L 
,Scumreds,M
